name,modulation scores in center vs quad 4,p-values in center vs quad 4,modulation in center vs quad 4,modulation scores in center vs quad 1,p-values in center vs quad 1,modulation in center vs quad 1,modulation scores in center vs quad 2,p-values in center vs quad 2,modulation in center vs quad 2,modulation scores in quad 4 vs quad 1,p-values in quad 4 vs quad 1,modulation in quad 4 vs quad 1,modulation scores in quad 4 vs quad 2,p-values in quad 4 vs quad 2,modulation in quad 4 vs quad 2,modulation scores in quad 1 vs quad 2,p-values in quad 1 vs quad 2,modulation in quad 1 vs quad 2,mean Activity (a.u.) in center,mean Activity (a.u.) in quad 4,mean Activity (a.u.) in quad 1,mean Activity (a.u.) in quad 2
C010,-0.05109880627697454,0.4,0.0,-0.15927982422929152,0.19,0.0,-0.24902701940817507,0.33,0.0,0.08833306626339885,0.33,0.0,-0.1083228104246456,0.49,0.0,0.06564157827824886,0.5,0.0,8.927055097717817,1.464911788645003,0.36918326634218956,10.479725313438056
C011,-0.09613234308646512,0.42,0.0,0.06481715834567307,0.49,0.0,0.2145967424492819,0.03,1.0,-0.04624122744433801,0.15,0.0,-0.26485940386444035,0.22,0.0,0.003772539128638397,0.17,0.0,7.631188252780393,4.2727584187372685,6.810516508473018,2.637964802675338
C012,0.20992229503837015,0.28,0.0,0.2127479910151614,0.4,0.0,0.1177939402784039,0.32,0.0,0.24235462788226075,0.47,0.0,0.14370385397156676,0.09,0.0,0.29456296731260534,0.44,0.0,14.299807691203785,7.58472681899303,7.2384353122467235,10.724984845166635
C013,0.13506835125124012,0.35,0.0,0.07616461884686918,0.23,0.0,0.17243039736646573,0.17,0.0,-0.2962280950236542,0.49,0.0,-0.2275216147140031,0.46,0.0,0.2391300423033156,0.32,0.0,0.9746688867821485,0.000963020737307918,6.077977615375047,3.396464101714315
C014,0.0860264865629704,0.46,0.0,0.204886722240162,0.18,0.0,0.08640385968316201,0.33,0.0,-0.15986885416906452,0.41,0.0,-0.061535010322315516,0.17,0.0,-0.08042185291185701,0.38,0.0,11.830556850137665,4.757831005910565,2.941070356888083,0.47273434060896236
C015,-0.013332708367445111,0.12,0.0,0.04677439435565926,0.02,1.0,0.23275209634028363,0.05,0.0,-0.2270869496381813,0.08,0.0,0.24211316605026306,0.5,0.0,0.006295456410318345,0.06,0.0,6.3980024295774935,5.3237161287732935,10.40998497745049,12.99024142544751
C016,-0.23972776758490258,0.18,0.0,0.17001090546089712,0.24,0.0,-0.2886889734433719,0.1,0.0,-0.15603640221372875,0.43,0.0,-0.2745272381718907,0.34,0.0,0.1627081924451735,0.17,0.0,7.246446038017492,5.693217040801655,2.8046632930084474,12.131475223430739
C017,0.12182359982468764,0.39,0.0,-0.20570410587596713,0.22,0.0,-0.25857947900894324,0.38,0.0,-0.21187605158590464,0.32,0.0,0.22030512303007846,0.26,0.0,-0.12999110161807162,0.24,0.0,12.65491225083345,3.9149610213022292,13.754417258879224,12.265940313206812
C018,0.012953076851823364,0.48,0.0,0.2580764938181342,0.48,0.0,-0.2032044666604595,0.41,0.0,0.22790350509062168,0.17,0.0,-0.05483580484837773,0.41,0.0,0.2486203752747458,0.09,0.0,3.7897379929470603,2.502859481652548,7.184060360724893,14.882224670124899
C019,-0.10265225326228863,0.43,0.0,-0.05543688862120894,0.25,0.0,0.028738195511731957,0.25,0.0,-0.013392735638405194,0.14,0.0,-0.17074524515122,0.1,0.0,-0.15607101289018518,0.45,0.0,14.158354812452636,10.264912241544703,1.2718252935708996,11.11619674141527
C020,0.1810908641480832,0.19,0.0,-0.0008233786194336012,0.07,0.0,-0.16130014241017113,0.49,0.0,-0.19557675618989012,0.11,0.0,-0.2568951156000632,0.06,0.0,0.14291166839855263,0.21,0.0,3.4047656788456533,6.6475641529988625,2.630036389129195,1.7497937734255131
C021,0.005699107024319438,0.4,0.0,0.23324330569555304,0.44,0.0,-0.19751576337990676,0.28,0.0,0.14298368427715938,0.13,0.0,-0.11481372946682597,0.11,0.0,0.1103584678284398,0.12,0.0,3.2965792932778304,4.462045880627284,7.3316248962216735,12.501221844231921
C022,0.1831201970782612,0.38,0.0,-0.18894572896403095,0.23,0.0,-0.22083716328499262,0.05,0.0,-0.25078235683989547,0.08,0.0,0.10922413155071543,0.21,0.0,-0.24446667599498953,0.35,0.0,6.078441148364435,10.97650882174545,11.322082909997729,9.908274222061133
C023,-0.05833857734090011,0.47,0.0,0.16153170347220716,0.46,0.0,0.2280147318136687,0.2,0.0,0.07460825899653357,0.33,0.0,0.036033976942081415,0.07,0.0,0.15690198962005755,0.48,0.0,10.712983137203825,7.579555871843175,6.753822607037993,7.894750224428033
C024,0.022311013770230637,0.15,0.0,0.15779708889101127,0.43,0.0,0.2509433451183117,0.07,0.0,0.2803945844823704,0.42,0.0,0.16769791972950485,0.09,0.0,0.10558122803172147,0.43,0.0,13.559579700159528,1.1685002825840873,10.949595794312112,6.062397380156236
C025,0.23331663103875164,0.25,0.0,0.07874420122458674,0.23,0.0,0.1135690691497861,0.19,0.0,-0.08504625338552337,0.21,0.0,0.26683895579921774,0.16,0.0,-0.014487715384145705,0.15,0.0,3.5102106572894503,12.968010588999515,11.999904674925366,0.07473537742765879
C026,0.25887847244873596,0.12,0.0,-0.16219079217129587,0.42,0.0,0.13365632063156627,0.01,1.0,-0.16577176341645297,0.11,0.0,-0.12366860697949268,0.26,0.0,0.01066187987620899,0.36,0.0,0.5042262740841141,11.35171766664023,2.264417277103208,2.298627382641855
C027,0.08131364008590326,0.23,0.0,0.04166275657843512,0.42,0.0,0.05974018553757978,0.07,0.0,0.05557608188931657,0.13,0.0,-0.04982973163516489,0.07,0.0,-0.22745495241497077,0.34,0.0,14.980546249302588,14.525047315123707,14.662828198270914,9.155157018181498
C028,-0.11697912007558736,0.26,0.0,-0.24307245848253456,0.28,0.0,0.29787138749048375,0.37,0.0,-0.13898383030754002,0.38,0.0,-0.09267093798279935,0.12,0.0,-0.15740121264776286,0.39,0.0,1.0143195430877365,11.674766815098817,3.7062775836504054,3.1306670428356087
C029,0.2497797654902974,0.32,0.0,-0.25986291042482984,0.13,0.0,0.2290599129589543,0.34,0.0,-0.02113632577975668,0.03,-1.0,-0.041953409854510994,0.36,0.0,0.2761029753087947,0.35,0.0,14.403227359008014,2.3522024293731,14.75297430343661,8.18441715590813
C030,-0.1738470054533178,0.44,0.0,-0.03525446186835424,0.21,0.0,-0.070763467520084,0.07,0.0,0.2677152951561655,0.24,0.0,0.2132726273122403,0.08,0.0,-0.27066170066052275,0.06,0.0,14.851308041689238,4.347123574345114,3.366307079772816,12.139817442332584
C031,-0.19489317575546572,0.06,0.0,-0.2336240484069615,0.06,0.0,-0.21746797536218276,0.31,0.0,-0.14060208180741554,0.04,-1.0,0.2187241235803498,0.22,0.0,0.21792828697011904,0.04,1.0,11.060644164532112,4.990449597670452,14.382529836811933,2.022806943538808
C032,-0.0049747362901236825,0.25,0.0,0.11211675201662878,0.15,0.0,0.26122478184751435,0.34,0.0,0.15722043487996157,0.4,0.0,-0.012498299244863564,0.03,-1.0,-0.034753310069351985,0.41,0.0,5.444610637527311,3.2617089134739525,5.7103960056151255,9.895877983511074
C033,0.29289731624119797,0.21,0.0,-0.04960247969524327,0.04,-1.0,-0.11968087692451261,0.07,0.0,0.1710187408837269,0.27,0.0,-0.11578854953736417,0.02,-1.0,-0.09501156084178974,0.24,0.0,10.618918850249013,9.712247273230833,2.5342401274235145,10.727721570564185
C034,-0.27827711535686855,0.5,0.0,-0.12631257651434669,0.22,0.0,-0.2961749024917523,0.33,0.0,0.09266417724876908,0.18,0.0,0.05021045679497271,0.17,0.0,-0.10755987338758252,0.09,0.0,14.950339066475024,13.958820370335733,11.103665208280193,3.2871334557565186
C035,-0.1953258966128799,0.37,0.0,-0.04100335593561781,0.38,0.0,0.0028579098202468067,0.41,0.0,-0.095617717558486,0.15,0.0,0.28110974502925334,0.26,0.0,0.19164767833781177,0.46,0.0,10.77305759032325,2.732210417096464,6.369960753958475,12.964032162823578
C036,-0.2069612769398693,0.33,0.0,0.07313135467697747,0.37,0.0,0.014493072470742096,0.45,0.0,-0.2835805439523326,0.02,-1.0,-0.05602149415505151,0.09,0.0,-0.20452854579262852,0.19,0.0,0.7469494205428234,11.644876031582,6.123300528755463,1.6652952740002718
C037,-0.04580013170462822,0.36,0.0,-0.00426840591105655,0.43,0.0,0.2141032176703571,0.1,0.0,-0.21332933830038206,0.32,0.0,0.22679769837182406,0.38,0.0,-0.16673881798570725,0.32,0.0,12.1350200260779,4.801936282752284,10.634370382701636,4.6846047318860675
C038,0.15429575593932596,0.21,0.0,-0.2067570276656964,0.33,0.0,0.07082317789332575,0.37,0.0,0.1748604112527976,0.24,0.0,0.13165557611503026,0.26,0.0,-0.10808312108034765,0.22,0.0,12.944366109313364,2.742808950348477,0.08126646254527636,3.8204666923629387
C039,0.13097547718896746,0.42,0.0,0.2979636468849892,0.28,0.0,-0.22375828176828774,0.1,0.0,0.2517066244536413,0.42,0.0,-0.09939593502972592,0.46,0.0,0.11646912450447974,0.1,0.0,0.06855091470042818,7.136153954706955,4.509991918134696,1.21781493700997
C040,-0.2780137329786651,0.06,0.0,-0.12077158907240394,0.29,0.0,0.14869277708592057,0.02,1.0,-0.049842720855131036,0.06,0.0,0.09889259700798982,0.4,0.0,-0.07967499197024619,0.14,0.0,9.739638685652084,9.202194849790185,2.2619845488768546,3.3743299685136705
C041,0.16768182649316377,0.47,0.0,-0.15721954665024188,0.36,0.0,-0.20309524689950462,0.27,0.0,-0.2197909894318167,0.38,0.0,-0.11491758075881554,0.31,0.0,-0.05623290650685973,0.41,0.0,0.4292828807974275,10.528200118739388,12.760570187772158,4.280497759413821
C042,0.08058761826172252,0.18,0.0,0.015526029738467817,0.06,0.0,0.2475018182588376,0.21,0.0,-0.08719960256737377,0.31,0.0,0.1749593602063362,0.2,0.0,0.031871600449759604,0.4,0.0,11.073944965723138,13.263199544444044,13.273050052766965,14.841111051488227
C043,-0.15987989254416135,0.12,0.0,-0.19211699078828248,0.35,0.0,-0.26931627600491054,0.32,0.0,-0.1046567133863553,0.03,-1.0,-0.07576019232619635,0.34,0.0,-0.08879051359534833,0.06,0.0,3.252866919475891,5.983962479406074,3.581136540380729,9.852147377730628
C044,-0.06527225410696222,0.44,0.0,-0.01591649337131642,0.23,0.0,-0.22033499857034056,0.39,0.0,-0.0820173221399797,0.35,0.0,0.1255692252947395,0.33,0.0,0.2651716760839446,0.08,0.0,9.299253716661648,4.36029796328257,10.048299690260912,2.4396645631148663
C045,0.005100113678066931,0.08,0.0,0.0707288457463199,0.24,0.0,-0.26366762395245164,0.31,0.0,0.24629918317126012,0.38,0.0,-0.07972728316343715,0.39,0.0,-0.01583936181487897,0.11,0.0,9.453310831196992,12.12952790667465,12.349472498039171,8.69677924068576
C046,-0.06874602730047434,0.25,0.0,-0.20539047358253715,0.33,0.0,0.0025408013561554863,0.28,0.0,-0.022428355590937008,0.04,-1.0,-0.2204854939497894,0.37,0.0,0.034093241386414785,0.27,0.0,6.01032723852075,9.516616909481531,8.158859756042707,1.7736441222150434
C047,0.006181559319524221,0.36,0.0,-0.005825499627181485,0.23,0.0,0.18109198306782506,0.18,0.0,-0.1278079914442348,0.32,0.0,-0.23606976243142155,0.47,0.0,-0.1537280804457495,0.23,0.0,5.348076939905206,10.915376739779738,0.819347631948184,2.867833627741374
C048,0.061693043817968536,0.29,0.0,-0.12103627308217663,0.32,0.0,0.13654639043671554,0.13,0.0,0.1929425905391444,0.31,0.0,0.0354635278391098,0.36,0.0,-0.23878153329990964,0.09,0.0,9.012770753322151,4.825885099041147,6.702237462206085,11.436194542968835
C049,-0.027422310257007875,0.29,0.0,-0.28412823374764984,0.08,0.0,0.19341851020440393,0.13,0.0,-0.2280650109871446,0.49,0.0,0.14820855327249519,0.33,0.0,0.22861355833914165,0.1,0.0,7.446731181252082,8.20105790271973,13.477993106650974,3.6128731139192927
